precinct,year,race,party,candidate,votes
South Connellsville Borough - 66-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,236
South Union Township 1 - 68-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,1090
South Union Township 2 - 68-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,553
South Union Township 3 - 68-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,553
Springfield Township 1 - 70-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,108
Springfield Township 2 - 70-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,104
Springhill Township - 72-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,300
Stewart Township - 74-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,84
Uniontown City 1 - 76-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,331
Uniontown City 2 - 76-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,301
Uniontown City 3 - 76-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,276
Uniontown City 4 - 76-04,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,258
Uniontown City 5 - 76-05,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,319
Uniontown City 6 - 76-06,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,204
Uniontown City 7 - 76-07,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,278
Upper Tyrone Township - 78-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,191
Vanderbilt Borough - 80-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,67
Washington Township - 82-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,679
Wharton Township - 84-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,458
Belle Vernon Borough - 02-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,306
Brownsville Township - 04-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,142
Brownsville Borough 1 - 06-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,111
Brownsville Borough 2 - 06-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,152
Brownsville Borough 3 - 06-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,154
Bullskin Township 1 - 08-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1854
Bullskin Township 2 - 08-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,674
Bullskin Township 3 - 08-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,571
Connellsville City 1- 10-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,653
Connellsville City 2- 10-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,581
Connellsville City 3- 10-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,326
Connellsville City 4- 10-04,2024,Presidential Electors,REP,Donald J Trump / JD Vance,429
Connellsville Township - 12-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,862
Dawson Borough - 14-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,126
Dunbar Township 1 - 16-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1098
Dunbar Township 2 - 16-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1542
Dunbar  Borough - 18-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,386
Everson Borough - 20-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,223
Fairchance Borough - 22-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,686
Fayette City Borough - 24-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,171
Franklin Township 1 - 26-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,594
Franklin Township 2 - 26-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,378
Georges Township 1 - 28-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,587
Georges Township 2 - 28-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,874
Georges Township 3 - 28-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,886
German Township 1 - 30-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,773
German Township 2 - 30-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,303
German Township 3 - 30-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,350
German Township 4 - 30-04,2024,Presidential Electors,REP,Donald J Trump / JD Vance,147
Henry Clay Township - 32-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,716
Jefferson Township - 34-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,817
Lower Tyrone Township - 36-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,513
Luzerne Township 1 - 38-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,453
Luzerne Township 2 - 38-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,484
Luzerne Township 3 - 38-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,167
Luzerne Township 4 - 38-04,2024,Presidential Electors,REP,Donald J Trump / JD Vance,146
Markleysburg Borough - 40-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,83
Masontown Borough - 42-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,931
Menallen Township 1 - 44-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,430
Menallen Township 2 - 44-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,717
Menallen Township 3 - 44-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,291
Newell Borough - 46-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,134
Nicholson Township - 48-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,701
North Union Township 1 - 50-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,780
North Union Township 2 - 50-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1426
North Union Township 3 - 50-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,454
North Union Township 4 - 50-04,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1010
North Union Township 5 - 50-05,2024,Presidential Electors,REP,Donald J Trump / JD Vance,253
Ohiopyle Borough - 52-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,5
Perry Township - 54-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,891
Perryopolis Borough - 56-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,640
Point Marion Borough - 58-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,313
Redstone Township 1 - 60-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,549
Redstone Township 2 - 60-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,575
Redstone Township 3 - 60-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,203
Redstone Township 4 - 60-04,2024,Presidential Electors,REP,Donald J Trump / JD Vance,198
Saltlick Township - 62-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1265
Smithfield Borough - 64-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,322
South Connellsville Borough - 66-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,680
South Union Township 1 - 68-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1752
South Union Township 2 - 68-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,917
South Union Township 3 - 68-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1045
Springfield Township 1 - 70-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,706
Springfield Township 2 - 70-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,459
Springhill Township - 72-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,990
Stewart Township - 74-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,295
